City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Gobabis,0,NA,1547341077,24,-22.45,18.97,64.03,10.31
Vila Velha,20,BR,1547340815,100,-3.71,-38.6,81.9,6.33
Butaritari,56,KI,1547341078,100,3.07,172.79,83.47,8.79
Cape Town,20,ZA,1547337600,82,-33.93,18.42,64.4,9.17
Temple,90,US,1547340660,60,31.1,-97.34,48.2,10.29
Rikitea,68,PF,1547341079,100,-23.12,-134.97,79.15,12.44
Ushuaia,40,AR,1547337600,74,-54.81,-68.31,44.6,36.91
Walvis Bay,0,NA,1547337600,93,-22.95,14.51,60.8,1.12
Avarua,75,CK,1547337600,70,-21.21,-159.78,86.0,11.41
Ancud,75,CL,1547337600,66,-41.87,-73.83,51.8,6.93
Hope,1,CA,1547337600,70,49.38,-121.43,44.6,13.87
Chuy,92,UY,1547341083,92,-33.69,-53.46,68.89,12.59
Cidreira,88,BR,1547341083,93,-30.17,-50.22,74.47,14.38
Vaitape,92,PF,1547341084,100,-16.52,-151.75,82.03,24.85
Tiarei,90,PF,1547339400,74,-17.53,-149.33,84.2,14.99
Alofi,44,NU,1547337600,66,-19.06,-169.92,86.0,13.87
New Norfolk,0,AU,1547339400,32,-42.78,147.06,69.8,11.41
Busselton,8,AU,1547341085,100,-33.64,115.35,67.36,17.18
Hobart,0,AU,1547339400,32,-42.88,147.33,69.8,11.41
Yaan,12,NG,1547341086,67,7.38,8.57,71.1,2.71
Arraial do Cabo,0,BR,1547341086,88,-22.97,-42.02,77.22,16.4
Nanortalik,92,GL,1547341086,94,60.14,-45.24,29.38,24.23
Muros,0,ES,1547339400,86,42.77,-9.06,41.0,3.36
Belmonte,0,PT,1547341087,85,40.36,-7.35,30.19,6.51
Broken Hill,0,AU,1547337600,23,-31.97,141.45,82.4,14.99
Richards Bay,0,ZA,1547341088,96,-28.77,32.06,66.87,2.08
Klaksvik,92,FO,1547338800,100,62.23,-6.59,44.6,21.92
Khatanga,48,RU,1547341088,48,71.98,102.47,-29.26,10.25
Mar del Plata,20,AR,1547341089,33,-46.43,-67.52,66.42,7.9
Soe,76,EE,1547337000,100,57.91,26.05,26.6,8.05
Balikpapan,64,ID,1547341089,100,-1.24,116.86,77.62,1.97
Faanui,92,PF,1547341090,100,-16.48,-151.75,81.85,22.95
Carutapera,64,BR,1547341090,94,-1.2,-46.02,77.13,7.11
Lae,75,PG,1547337600,66,-6.72,146.98,84.2,5.82
Bethel,75,US,1547337360,77,60.79,-161.76,-5.98,18.34
Lebu,0,ET,1547341092,53,8.96,38.73,31.77,2.59
Yulara,0,AU,1547337600,9,-25.24,130.99,100.4,14.99
